Incident_Type,Statute_Type,Block_Address,Occurred_Datetime,Statute_Description
Theft Felony (over $950),Penal Code,1300 ADDISON ST,2023-07-13 07:00:00,Obtain credit using another identification
Vehicle Recovered,Penal Code,MARINA BLVD  &  UNIVERSITY AVE,2025-01-01 19:34:00,PROBATION VIOLATION: REARREST/REVOKE
Gun/Weapon,Penal Code,MARINA BLVD  &  UNIVERSITY AVE,2024-03-08 05:26:00,CARRY LOADED FIREARM IN PUBLIC UNDER SPECIFIC CIRCUMSTANCES
Theft Felony (over $950),Penal Code,900 UNIVERSITY AVE,2024-01-14 16:00:00,GRAND THEFT (ALL OTHER)
Theft from Person,Penal Code,1300 ADDISON ST,2023-07-03 19:00:00,Theft from elder or dependent adult (under $950)
Gun/Weapon,Health and Safety,MARINA BLVD  &  UNIVERSITY AVE,2024-03-08 05:26:00,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE
Assault/Battery Misdemeanor,Penal Code,EUCLID AVE  &  VIRGINIA ST,2025-01-04 03:50:00,BATTERY ON PERSON
Vehicle Stolen,Penal Code,1900 8TH ST,2023-12-04 21:30:00,Grand theft: money; labor; or property over $950
Theft from Person,Penal Code,1300 ADDISON ST,2023-07-03 19:00:00,Petty Theft
Gun/Weapon,Health and Safety,MARINA BLVD  &  UNIVERSITY AVE,2024-03-08 05:26:00,POSS CONTROLLED SUBSTANCE WHILE ARMED W/LOADED FIREARM
Theft from Auto,Penal Code,EUCLID AVE  &  VIRGINIA ST,2024-11-08 18:00:00,PETTY THEFT FROM VEHICLE
Vehicle Stolen,Vehicle Code,1900 8TH ST,2023-12-04 21:30:00,Take vehicle without owner's consent
Fraud/Forgery,Penal Code,1300 ALLSTON WAY,2025-01-03 17:06:00,THEFT ELDER/DEPENDANT ADULT (OVER $950)
Vehicle Stolen,Vehicle Code,1300 ADDISON ST,2023-02-04 00:00:00,Take vehicle without owner's consent
Gun/Weapon,Health and Safety,MARINA BLVD  &  UNIVERSITY AVE,2024-03-08 05:26:00,POSSESS CONTROLLED SUBSTANCE FOR SALE
Fraud/Forgery,Penal Code,1700 EUCLID AVE,2024-07-04 19:00:00,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $400]
Burglary Residential,Penal Code,900 UNIVERSITY AVE,2023-10-30 12:30:00,Burglary
Vehicle Stolen,Vehicle Code,1300 ADDISON ST,2023-01-10 23:00:00,Take vehicle without owner's consent
Gun/Weapon,Penal Code,MARINA BLVD  &  UNIVERSITY AVE,2024-03-08 05:26:00,CARRY CONCEALED WEAPON IN VEHICLE
Burglary Commercial,Penal Code,1700 EUCLID AVE,2023-09-02 00:00:00,Burglary
Theft Misdemeanor (Under $950),Penal Code,900 UNIVERSITY AVE,2023-08-20 06:00:00,Petty Theft
Sexual Assault Misdemeanor,Penal Code,1300 ALLSTON WAY,2024-10-23 04:30:00,BATTERY OF ELDER OR DEPENDENT ADULT(SIMPLE ASSAULT)
Domestic violence,Penal Code,1300 ADDISON ST,2023-01-10 05:23:00,Battery: ex-spouse; dating; etc (hospital required)
Arson,Penal Code,900 UNIVERSITY AVE,2023-06-03 01:25:00,ARSON:  PROPERTY
Assault/Battery Misdemeanor,Penal Code,1200 ALLSTON WAY,2024-06-30 22:20:00,BATTERY ON PERSON
Vehicle Stolen,Vehicle Code,1900 8TH ST,2023-01-11 03:00:00,Take vehicle without owner's consent
Vehicle Stolen,Vehicle Code,1300 ALLSTON WAY,2024-03-10 22:00:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Burglary Auto,Penal Code,2800 FOREST AVE,2025-01-03 16:20:00,GRAND THEFT (ALL OTHER)
Burglary Auto,Penal Code,2800 FOREST AVE,2025-01-03 16:20:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,2800 FOREST AVE,2025-01-03 16:20:00,ASSAULT WITH FIREARM ON PERSON
Burglary Auto,Penal Code,2800 FOREST AVE,2025-01-03 16:20:00,CONSPIRACY:COMMIT CRIME
Vehicle Stolen,Vehicle Code,1 TUNNEL RD,2024-08-31 04:30:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Burglary Auto,Penal Code,1 TUNNEL RD,2024-12-31 21:00:00,BURGLARY OF AUTO
Vehicle Stolen,Vehicle Code,1 TUNNEL RD,2024-12-27 19:36:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Disturbance,Penal Code,1 TUNNEL RD,2024-11-05 15:30:00,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING
Fraud/Forgery,Penal Code,1 TUNNEL RD,2024-10-08 07:00:00,THEFT ELDER/DEPENDANT ADULT (OVER $950)
Vehicle Code Violation,Vehicle Code,TUNNEL RD  &  OAK RIDGE RD,2024-09-21 07:20:00,DUI ALCOHOL
Vehicle Code Violation,Vehicle Code,TUNNEL RD  &  OAK RIDGE RD,2024-09-21 07:20:00,DUI COMBINED ALCOHOL AND DRUG
Burglary Auto,Penal Code,1 POPLAR ST,2024-12-31 15:00:00,BURGLARY OF AUTO
Vehicle Stolen,Vehicle Code,1 POPLAR ST,2024-08-11 02:00:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Assault/Battery Misdemeanor,Penal Code,2900 COLLEGE AVE,2024-12-31 20:00:00,BATTERY ON PERSON
Burglary Auto,Penal Code,WEBSTER ST  &  COLLEGE AVE,2024-09-09 19:37:00,BURGLARY OF AUTO
