Incident_Type,Statute_Type,Block_Address,Occurred_Datetime,Statute_Description
Theft Misdemeanor (Under $950),Penal Code,1100   8TH ST,2024-08-30 14:37:00,PETTY THEFT (ALL OTHER)
Vehicle Stolen,Vehicle Code,1200 7TH ST,2024-07-07 09:23:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Theft from Auto,Penal Code,1200   7TH ST,2024-03-23 18:20:00,GRAND THEFT VEHICLE PARTS
Vandalism,Vehicle Code,1100 8TH ST,2023-10-17 19:50:00,Tamper with vehicle
Disturbance,Penal Code,900 HARRISON ST,2023-01-26 23:42:00,THREATEN CRIME W/INTENT TO TERRORIZE
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2025-04-06 03:30:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2025-03-09 04:30:00,PETTY THEFT (ALL OTHER)
Theft Felony (over $950),Penal Code,1800 SOLANO AVE,2025-02-21 21:49:00,GRAND THEFT SHOPLIFTING
Robbery,Penal Code,1800 SOLANO AVE,2025-02-15 21:10:00,ROBBERY
Robbery,Penal Code,1800 SOLANO AVE,2025-02-15 21:10:00,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH
Robbery,Penal Code,1800 SOLANO AVE,2025-02-15 21:10:00,RECEIVE/ETC KNOWN STOLEN PROPERTY
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2025-02-14 20:29:00,SHOPLIFTING (LESS THAN $950)
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2025-02-13 20:00:00,SHOPLIFTING (LESS THAN $950)
Burglary Auto,Penal Code,1800 SOLANO AVE,2025-01-31 20:10:00,BURGLARY OF AUTO
Assault/Battery Misdemeanor,Penal Code,1800 SOLANO AVE,2025-01-11 09:15:00,DISCHARGE BB DEVICE IN GROSSLY NEGLIGENT MANNER
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2025-01-10 23:00:00,SHOPLIFTING (LESS THAN $950)
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2025-01-10 23:00:00,CONSPIRACY:COMMIT CRIME
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2024-12-29 20:00:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2024-12-29 20:00:00,CONSPIRACY:COMMIT CRIME
Assault/Battery Felony,Health and Safety,1900 CENTER ST,2023-12-08 05:10:00,Possession of controlled substances
Assault/Battery Felony,Health and Safety,1900 CENTER ST,2023-12-08 05:10:00,Possess narcotics paraphernalia
Assault/Battery Felony,Penal Code,1900 CENTER ST,2023-12-08 05:10:00,Assault with deadly weapon other than a firearm
Assault/Battery Felony,Penal Code,1900 CENTER ST,2023-12-08 05:10:00,Cause harm or death of elder or dependent adult
Burglary Auto,Penal Code,1900 CENTER ST,2023-12-02 03:05:00,Burglary of a locked automobile
Vehicle Code Violation,Vehicle Code,MARTIN LUTHER KING JR WAY  &  CENTER ST,2023-11-24 22:44:00,HIT & RUN PROPERTY DAMAGE:NOTIFY OWNER/ETC REQUIREMENTS
Burglary Auto,Penal Code,1900 CENTER ST,2023-11-20 05:50:00,Burglary of a locked automobile
Assault/Battery Felony,Health and Safety,1900 CENTER ST,2023-11-17 22:13:00,Possession of controlled substances
Assault/Battery Felony,Penal Code,1900 CENTER ST,2023-11-17 22:13:00,Probation Violation : Misdemeanor
Assault/Battery Felony,Penal Code,1900 CENTER ST,2023-11-17 22:13:00,Assault with deadly weapon other than a firearm
Burglary Auto,Penal Code,1900 CENTER ST,2023-11-14 02:00:00,Burglary of a locked automobile
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2023-11-10 02:30:00,Battery with bodily injury
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2023-11-10 02:30:00,THREATEN CRIME W/INTENT TO TERRORIZE
Burglary Auto,Penal Code,1900 CENTER ST,2023-11-09 03:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-11-02 01:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-11-01 01:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-10-27 03:20:00,Burglary of a locked automobile
Brandishing a weapon,Penal Code,1900 CENTER ST,2023-10-25 16:45:00,Violation of Parole
Brandishing a weapon,Penal Code,1900 CENTER ST,2023-10-25 16:45:00,Exhibit deadly weapon other than firearm
Vandalism,Penal Code,1900 CENTER ST,2023-10-21 18:44:00,Vandalism:  Destroy other's property
Burglary Auto,Penal Code,1900 CENTER ST,2023-10-19 03:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-10-15 02:45:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-10-14 03:15:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-10-07 02:15:00,Burglary of a locked automobile
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2023-10-04 23:45:00,Obstruct/resist peace officer/emergency personnel
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2023-10-04 23:45:00,Battery with bodily injury
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2023-10-04 23:45:00,False identification to peace officers
Burglary Auto,Penal Code,1900 CENTER ST,2023-10-03 04:00:00,Burglary of a locked automobile
Robbery,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2023-10-02 20:00:00,Robbery
Robbery,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2023-10-02 20:00:00,Battery with serious bodily injury
Burglary Auto,Penal Code,1900 CENTER ST,2023-09-29 02:50:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-09-11 03:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-09-01 01:45:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-08-25 02:30:00,Burglary of a locked automobile
Disturbance,Penal Code,1900 CENTER ST,2023-08-18 22:15:00,THREATEN CRIME W/INTENT TO TERRORIZE
Narcotics Violation,Health and Safety,1900 CENTER ST,2023-08-15 18:37:00,Possess narcotics paraphernalia
Burglary Auto,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2023-08-09 03:10:00,Grand theft: money; labor; or property over $950
Burglary Auto,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2023-08-09 03:10:00,Burglary of a locked automobile
Narcotics Violation,Health and Safety,1900 CENTER ST,2023-08-03 01:48:00,Possession of controlled substances
Narcotics Violation,Penal Code,1900 CENTER ST,2023-08-03 01:48:00,Outside Warrant Felony
Narcotics Violation,Health and Safety,1900 CENTER ST,2023-08-03 01:48:00,Possess narcotics paraphernalia
Burglary Auto,Penal Code,1900 CENTER ST,2023-07-31 06:20:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-07-29 05:00:00,Burglary of a locked automobile
Fraud/Forgery,Penal Code,1900 CENTER ST,2023-07-17 19:00:00,POSSESS ID OF 10 OR MORE PERSONS DEFRAUDED
Burglary Auto,Penal Code,1900 CENTER ST,2023-07-09 00:56:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-07-08 02:45:00,Burglary of a locked automobile
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2023-07-07 22:32:00,Fight or challenge fight public place
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2023-06-29 23:25:00,Battery with bodily injury
Burglary Auto,Penal Code,1900 CENTER ST,2023-06-23 06:50:00,Burglary of a locked automobile
Vandalism,Penal Code,1900 CENTER ST,2023-06-17 23:00:00,Vandalism (destruction is $400 or more)
Theft from Auto,Penal Code,1900 CENTER ST,2024-11-19 16:00:00,GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT 
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-11-15 00:22:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Penal Code,1900 CENTER ST,2024-11-15 00:22:00,DESTROY/CONCEAL EVIDENCE
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-11-15 00:21:00,POSSESS UNLAWFUL PARAPHERNALIA
Disturbance,Penal Code,1900 CENTER ST,2024-11-06 18:36:00,FIGHT/CHALLENGE FIGHT PUBLIC PLACE
Narcotics Violation,Health and Safety,MARTIN LUTHER KING JR WAY  &  CENTER ST,2024-10-31 20:35:00,POSSESS CONTROLLED SUBSTANCE
Narcotics Violation,Health and Safety,MARTIN LUTHER KING JR WAY  &  CENTER ST,2024-10-31 20:35:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Health and Safety,CENTER ST  &  MARTIN LUTHER KING JR WAY,2024-10-31 01:10:00,POSSESS CONTROLLED SUBSTANCE
Narcotics Violation,Health and Safety,CENTER ST  &  MARTIN LUTHER KING JR WAY,2024-10-31 01:10:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Health and Safety,CENTER ST  &  MARTIN LUTHER KING JR WAY,2024-10-31 01:07:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Health and Safety,CENTER ST  &  MARTIN LUTHER KING JR WAY,2024-10-31 01:07:00,POSSESS CONTROLLED SUBSTANCE
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-10-29 19:42:00,POSSESS CONTROLLED SUBSTANCE
Disturbance,Penal Code,1900 CENTER ST,2024-10-21 16:00:00,FIGHT/CHALLENGE FIGHT PUBLIC PLACE
Narcotics Violation,Health and Safety,CENTER ST  &  MARTIN LUTHER KING JR WAY,2024-10-08 19:00:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Health and Safety,CENTER ST  &  MARTIN LUTHER KING JR WAY,2024-10-08 19:00:00,POSSESS CONTROLLED SUBSTANCE
Narcotics Violation,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2024-10-08 19:00:00,CONTEMPT OF COURT: DISOBEY COURT ORDER
Narcotics Violation,Health and Safety,CENTER ST  &  MARTIN LUTHER KING JR WAY,2024-10-08 19:00:00,POSSESS UNLAWFUL PARAPHERNALIA
Theft Misdemeanor (Under $950),Penal Code,1900 CENTER ST,2024-09-28 20:00:00,PETTY THEFT (ALL OTHER)
Domestic violence,Penal Code,1900 CENTER ST,2024-09-27 00:39:00,STALKING
Domestic violence,Penal Code,1900 CENTER ST,2024-09-27 00:39:00,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC
Domestic violence,Penal Code,1900 CENTER ST,2024-09-27 00:39:00,PROBATION VIOLATION: REARREST/REVOKE
Assault/Battery Felony,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2024-09-22 07:00:00,ASSAULT W/DEADLY WEAPON:NOT F/ARM
Vandalism,Penal Code,1900 CENTER ST,2024-09-19 19:35:00,VANDALISM ($400 OR MORE)
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-09-18 23:02:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Penal Code,1900 CENTER ST,2024-09-18 23:02:00,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH
Disturbance,Penal Code,1900 CENTER ST,2024-09-18 21:40:00,CONTEMPT OF COURT: DISOBEY COURT ORDER
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-09-10 00:05:00,POSSESS CONTROLLED SUBSTANCE
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-09-10 00:05:00,POSSESS UNLAWFUL PARAPHERNALIA
Burglary Auto,Penal Code,1900 CENTER ST,2024-09-06 04:17:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,1900 CENTER ST,2024-09-05 05:20:00,Enhancement; Felony committed while on Bail or O/R
Burglary Auto,Penal Code,1900 CENTER ST,2024-09-05 05:20:00,GIVE FALSE ID TO POLICE OFFICER
Burglary Auto,Penal Code,1900 CENTER ST,2024-09-05 05:20:00,BURGLARY OF AUTO
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-09-01 18:05:00,ASSAULT W DEADLY WEAPON:NOT F/ARM
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-08-30 17:34:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Penal Code,1900 CENTER ST,2024-08-26 23:17:00,DESTROY/CONCEAL EVIDENCE
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-08-26 23:17:00,POSSESS UNLAWFUL PARAPHERNALIA
Burglary Auto,Penal Code,1900   CENTER ST,2024-08-20 03:10:00,BURGLARY OF AUTO
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-08-16 05:12:00,BATTERY ON PERSON
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-08-13 02:11:00,BATTERY ON PERSON
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-08-09 23:10:00,BATTERY ON PERSON
Burglary Auto,Penal Code,1900   CENTER ST,2024-08-09 04:40:00,BURGLARY OF AUTO
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-08-06 22:00:00,POSSESS CONTROLLED SUBSTANCE
Disturbance,Health and Safety,1900 CENTER ST,2024-07-31 17:41:00,POSSESS UNLAWFUL PARAPHERNALIA
Burglary Auto,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2024-07-27 05:00:00,BURGLARY OF AUTO
Vandalism,Vehicle Code,1900 CENTER ST,2024-07-26 02:15:00,Tamper with vehicle
Vandalism,Penal Code,1900 CENTER ST,2024-07-26 02:15:00,FALSE IDENTIFICATION TO SPECIFIC PEACE OFFICER
Vandalism,Penal Code,1900 CENTER ST,2024-07-26 02:15:00,BATTERY ON PERSON
Burglary Auto,Penal Code,1900   CENTER ST,2024-07-23 03:30:00,BURGLARY OF AUTO
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-07-17 19:01:00,POSSESS UNLAWFUL PARAPHERNALIA
Burglary Auto,Penal Code,1900   CENTER ST,2024-07-14 05:00:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,1900 CENTER ST,2023-06-16 02:15:00,Burglary of a locked automobile
Burglary Auto,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2023-06-03 04:00:00,Burglary of a locked automobile
Brandishing a weapon,Penal Code,1900 CENTER ST,2023-05-31 15:15:00,Exhibit deadly weapon other than firearm
Vehicle Code Violation,Penal Code,1900 CENTER ST,2023-05-22 19:14:00,Indecent Exposure
Vehicle Code Violation,Vehicle Code,1900 CENTER ST,2023-05-22 19:14:00,Tamper with vehicle
Theft Felony (over $950),Penal Code,MARTIN LUTHER KING JR WAY  &  CENTER ST,2023-05-07 23:30:00,Grand theft: money; labor; or property over $950
Theft Felony (over $950),Penal Code,MARTIN LUTHER KING JR WAY  &  CENTER ST,2023-05-07 23:30:00,Receive known stolen property (over $950)
Narcotics Violation,Health and Safety,1900 CENTER ST,2023-04-30 17:04:00,Possess narcotics paraphernalia
Narcotics Violation,Penal Code,1900 CENTER ST,2023-04-30 17:04:00,Outside Warrant Felony
Narcotics Violation,Penal Code,1900 CENTER ST,2023-04-30 17:04:00,Probation Violation : Misdemeanor
Disturbance,Penal Code,MARTIN LUTHER KING JR WAY  &  CENTER ST,2023-04-26 21:15:00,THREATEN CRIME W/INTENT TO TERRORIZE
Narcotics Violation,Health and Safety,1900 CENTER ST,2023-04-26 20:38:00,Possess narcotics paraphernalia
Narcotics Violation,Penal Code,1900 CENTER ST,2023-04-26 20:38:00,Probation Violation : Misdemeanor
Narcotics Violation,Penal Code,1900 CENTER ST,2023-04-26 20:38:00,Possess burglary tools
Burglary Auto,Penal Code,1900 CENTER ST,2023-04-23 06:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-04-20 05:00:00,Burglary of a locked automobile
Robbery,Penal Code,1900 CENTER ST,2023-04-18 08:00:00,Robbery
Burglary Auto,Penal Code,1900 CENTER ST,2023-04-18 04:30:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-04-18 04:30:00,Grand theft: money; labor; or property over $950
Assault/Battery Misdemeanor,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2023-04-18 00:15:00,Battery with bodily injury
Assault/Battery Felony,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2023-04-13 23:49:00,Battery against emergency personnel
Assault/Battery Felony,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2023-04-13 23:49:00,Probation Violation : Felony
Assault/Battery Felony,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2023-04-13 23:49:00,Assault with force likely to produce great bodily injury
Narcotics Violation,Health and Safety,1900 CENTER ST,2023-04-09 22:24:00,Possess narcotics paraphernalia
Theft Misdemeanor (Under $950),Penal Code,1900 CENTER ST,2023-04-05 16:30:00,Petty Theft
Burglary Auto,Penal Code,1900 CENTER ST,2023-03-31 06:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-03-30 03:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-03-30 01:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-03-27 04:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-03-25 04:45:00,Burglary of a locked automobile
Assault/Battery Felony,Penal Code,1900 CENTER ST,2023-03-24 21:00:00,Battery with serious bodily injury
Alcohol Related Offense,Penal Code,1900 CENTER ST,2023-03-23 15:27:00,Disorderly conduct:  Intoxication of drug and/or alcohol
Disturbance,Penal Code,1900 CENTER ST,2023-03-13 04:06:00,Obstruct/resist peace officer/emergency personnel
Theft Misdemeanor (Under $950),Penal Code,1900 CENTER ST,2023-03-02 22:50:00,Petty Theft
Fraud/Forgery,Penal Code,1900 CENTER ST,2023-02-23 08:00:00,Theft from elder or dependent adult (over $950)
Burglary Residential,Penal Code,1900 CENTER ST,2023-02-05 17:00:00,Burglary
Vandalism,Penal Code,1900 CENTER ST,2023-01-05 23:08:00,Vandalism:  Destroy other's property
Disturbance,Penal Code,1900 CENTER ST,2023-01-05 20:20:00,Trespass: obstruct/etc business operations
Disturbance,Penal Code,1900 CENTER ST,2023-01-05 20:20:00,THREATEN CRIME W/INTENT TO TERRORIZE
Disturbance,Penal Code,1900 CENTER ST,2023-01-05 20:20:00,Probation Violation : Misdemeanor
Assault/Battery Misdemeanor,Penal Code,MARTIN LUTHER KING JR WAY  &  CENTER ST,2025-03-29 20:10:00,BATTERY ON PERSON
Sexual Assault Felony,Penal Code,1900 CENTER ST,2025-03-28 15:46:00,BURGLARY - BREAKING AND ENTERING
Sexual Assault Felony,Penal Code,1900 CENTER ST,2025-03-28 15:46:00,ASSAULT:WITH INTENT TO RAPE
Sexual Assault Felony,Penal Code,1900 CENTER ST,2025-03-28 15:46:00,ROBBERY
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2025-03-26 21:00:00,CAUSE INJ ELDER/DEP ADULT AGG ASSAULT
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2025-03-24 22:00:00,VIOLATE CIVIL RIGHTS BY FORCE OR THREAT OF FORCE
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2025-03-24 22:00:00,BATTERY ON PERSON
Vehicle Code Violation,Vehicle Code,1900 CENTER ST,2025-03-24 20:22:00,FORGE/ALTER VEHICLE REGISTRATION/ETC
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2025-03-23 03:44:00,BATTERY ON PERSON
Theft Misdemeanor (Under $950),Penal Code,1900 CENTER ST,2025-03-20 03:00:00,PETTY THEFT OF PROPERTY FROM BUILDING
Disturbance,Penal Code,1900 CENTER ST,2025-03-05 20:38:00,TRESPASS: OBSTRUCT BUSINESS OPERATIONS/ETC
Disturbance,Penal Code,1900 CENTER ST,2025-03-04 07:00:00,THREATEN CRIME WITH INTENT TO TERRORIZE
Disturbance,Penal Code,1900 CENTER ST,2025-03-04 07:00:00,TRESPASS:REFUSE TO LEAVE PROPERTY
Disturbance,Penal Code,1900 CENTER ST,2025-03-04 07:00:00,Outside Warrant Misdemeanor
Disturbance,Penal Code,1900 CENTER ST,2025-03-04 07:00:00,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH
Arson,Health and Safety,1900 CENTER ST,2025-03-03 04:40:00,POSSESS UNLAWFUL PARAPHERNALIA
Arson,Penal Code,1900 CENTER ST,2025-03-03 04:40:00,CONTEMPT OF COURT: DISOBEY COURT ORDER
Arson,Penal Code,1900 CENTER ST,2025-03-03 04:40:00,ARSON:INHABITED STRUCTURE/PROPERTY
Assault/Battery Misdemeanor,Penal Code,MARTIN LUTHER KING JR WAY  &  CENTER ST,2025-03-02 11:40:00,ASSAULT W/DEADLY WEAPON:NOT F/ARM
Vandalism,Penal Code,MARTIN LUTHER KING JR WAY  &  CENTER ST,2025-03-02 10:10:00,VANDALISM:DEFACE PROPERTY
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2025-02-12 14:00:00,ELDER/DEPENDENT ADULT CRUELTY
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2025-02-12 14:00:00,BATTERY ON PERSON
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2025-02-12 14:00:00,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM
Narcotics Violation,Health and Safety,1900 CENTER ST,2025-02-12 01:20:00,POSSESS UNLAWFUL PARAPHERNALIA
Vandalism,Penal Code,1900 CENTER ST,2025-02-09 02:20:00,VANDALISM:DEFACE PROPERTY
Theft Felony (over $950),Penal Code,1900 CENTER ST,2025-02-05 05:30:00,GRAND THEFT (ALL OTHER)
Assault/Battery Misdemeanor,Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2025-02-04 00:00:00,BATTERY ON PERSON
Theft from Person,Penal Code,1900 CENTER ST,2025-02-02 19:05:00,PETTY THEFT (ALL OTHER)
Narcotics Violation,Health and Safety,1900 CENTER ST,2025-01-30 00:38:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Health and Safety,1900 CENTER ST,2025-01-30 00:38:00,POSSESS CONTROLLED SUBSTANCE
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2025-01-23 09:00:00,BATTERY ON PERSON
Sexual Assault Felony,Penal Code,1900 CENTER ST,2025-01-18 03:00:00,RAPE:VICTIM INCAPABLE OF GIVING CONSENT
Narcotics Violation,Health and Safety,1900 CENTER ST,2025-01-03 01:46:00,POSSESS UNLAWFUL PARAPHERNALIA
Fraud/Forgery,Penal Code,1900 CENTER ST,2025-01-03 01:42:00,GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT 
Fraud/Forgery,Health and Safety,1900 CENTER ST,2025-01-03 01:42:00,POSSESS UNLAWFUL PARAPHERNALIA
Identity Theft,Penal Code,1900 CENTER ST,2025-01-02 21:54:00,POSSESS PERSONAL IDENTIFYING INFO; IDENTITY THEFT
Assault/Battery Misdemeanor,Penal Code,MARTIN LUTHER KING JR WAY  &  CENTER ST,2024-12-26 17:18:00,BATTERY ON PERSON
Theft Misdemeanor (Under $950),Penal Code,CENTER ST  &  MARTIN LUTHER KING JR WAY,2024-12-25 00:03:00,PETTY THEFT (ALL OTHER)
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-12-17 23:13:00,POSSESS UNLAWFUL PARAPHERNALIA
Assault/Battery Felony,Penal Code,1900 CENTER ST,2024-12-12 17:30:00,BATTERY W/SERIOUS BODILY INJURY
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-12-10 02:21:00,POSSESS UNLAWFUL PARAPHERNALIA
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-12-06 08:15:00,BATTERY ON PERSON
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-12-05 18:55:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-12-05 18:55:00,POSSESS CONTROLLED SUBSTANCE
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-12-01 16:01:00,BATTERY ON PERSON
Theft from Auto,Penal Code,1900 CENTER ST,2024-11-19 16:00:00,GRAND THEFT FROM VEHICLE
Narcotics Violation,Health and Safety,CENTER ST  &  MARTIN LUTHER KING JR WAY,2024-07-12 23:59:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-07-11 23:52:00,POSSESS CONTROLLED SUBSTANCE
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-07-11 23:52:00,POSSESS UNLAWFUL PARAPHERNALIA
Brandishing a weapon,Penal Code,1900 CENTER ST,2024-07-08 03:28:00,VIOLATE CIVIL RIGHTS BY FORCE OR THREAT OF FORCE
Brandishing a weapon,Health and Safety,1900 CENTER ST,2024-07-08 03:28:00,POSSESS UNLAWFUL PARAPHERNALIA
Brandishing a weapon,Penal Code,1900 CENTER ST,2024-07-08 03:28:00,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-07-07 20:32:00,BATTERY ON PERSON
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-07-03 18:05:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-07-01 23:49:00,POSSESS UNLAWFUL PARAPHERNALIA
Disturbance,Penal Code,1900 CENTER ST,2024-06-29 05:34:00,DISORDERLY CONDUCT:ALCOHOL
Disturbance,Penal Code,1900 CENTER ST,2024-06-29 05:34:00,VIOLATE CIVIL RIGHTS BY FORCE OR THREAT OF FORCE INTIMIDATION
Narcotics Violation,Penal Code,1900 CENTER ST,2024-06-24 22:41:00,DESTROY/CONCEAL EVIDENCE
Narcotics Violation,Penal Code,1900 CENTER ST,2024-06-24 22:41:00,PROBATION VIOLATION: REARREST/REVOKE
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-06-24 22:41:00,POSSESS CONTROLLED SUBSTANCE
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-06-24 22:41:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-06-24 22:41:00,POSSESS NARCOTIC CONTROLLED SUBSTANCE
Burglary Auto,Penal Code,1900 CENTER ST,2024-06-23 01:30:00,BURGLARY OF AUTO
Assault/Battery Felony,Penal Code,MARTIN LUTHER KING JR WAY  &  CENTER ST,2024-06-22 09:45:00,BATTERY W/SERIOUS BODILY INJURY
Vandalism,Vehicle Code,1900 CENTER ST,2024-06-19 04:20:00,Tamper with vehicle
Burglary Auto,Penal Code,1900   CENTER ST,2024-06-16 03:00:00,BURGLARY OF AUTO
Narcotics Violation,Health and Safety,1900 CENTER ST,2024-05-24 21:55:00,POSSESS CONTROLLED SUBSTANCE
Narcotics Violation,Penal Code,1900 CENTER ST,2024-05-24 21:55:00,Outside Warrant Misdemeanor
Burglary Auto,Penal Code,1900 CENTER ST,2024-05-17 02:00:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,1900 CENTER ST,2024-05-11 05:30:00,BURGLARY OF AUTO
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-04-06 20:00:00,BATTERY ON PERSON
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-03-12 10:46:00,BATTERY ON PERSON
Burglary Auto,Penal Code,1900 CENTER ST,2024-03-03 04:00:00,BURGLARY OF AUTO
Sexual Assault Misdemeanor,Penal Code,1900 CENTER ST,2024-03-01 08:00:00,SEXUAL BATTERY
